pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
5toj	F	NA	0	C	protein	NA	fusion glycoprotein f0, fibritin chimera	VIRAL PROTEIN/IMMUNE SYSTEM	10/17/16	Crystal structure of the RSV F glycoprotein in complex with the neutralizing single-domain antibody F-VHH-4	HUMAN RESPIRATORY SYNCYTIAL VIRUS; LAMA GLAMA	lama glama	NA	human respiratory syncytial virus	Gilman, M.S.A., Kabeche, S.C., McLellan, J.S.	3.3	X-RAY DIFFRACTION	0.23399999999999999	0.184	False	True	IGHV1	NA	NA	2.3e-08	-10.420467653019871	SPR	NA	TBD
5toj	D	NA	0	A	protein	NA	fusion glycoprotein f0, fibritin chimera	VIRAL PROTEIN/IMMUNE SYSTEM	10/17/16	Crystal structure of the RSV F glycoprotein in complex with the neutralizing single-domain antibody F-VHH-4	HUMAN RESPIRATORY SYNCYTIAL VIRUS; LAMA GLAMA	lama glama	NA	human respiratory syncytial virus	Gilman, M.S.A., Kabeche, S.C., McLellan, J.S.	3.3	X-RAY DIFFRACTION	0.23399999999999999	0.184	False	True	IGHV1	NA	NA	2.3e-08	-10.420467653019871	SPR	NA	TBD
4jan	A	B	0	I	protein	NA	envelope glycoprotein gp120 of hiv-1 clade c	viral protein/immune system	02/18/13	crystal structure of broadly neutralizing antibody CH103 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Zheng, A., Srivatsan, S., Kwong, P.D.	3.15	X-RAY DIFFRACTION	0.256	0.196	False	True	IGHV4	IGLV3	Lambda	2e-08	-10.503274322962254	SPR	NA	TBD
4jan	H	L	0	G	protein	NA	envelope glycoprotein gp120 of hiv-1 clade c	viral protein/immune system	02/18/13	crystal structure of broadly neutralizing antibody CH103 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Zheng, A., Srivatsan, S., Kwong, P.D.	3.15	X-RAY DIFFRACTION	0.256	0.196	False	True	IGHV4	IGLV3	Lambda	2e-08	-10.503274322962254	SPR	NA	TBD
6aod	B	A	0	C	protein	NA	coagulation factor xi	BLOOD CLOTTING/IMMUNE SYSTEM	08/15/17	FXIa antibody complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lolicato, M., Minor, D.L.	1.8	X-RAY DIFFRACTION	0.207	0.182	False	True	IGHV1	IGKV1	Kappa	1.62e-10	-13.356611273870055	SPR	NA	TBD
5sv3	C	NA	0	D	protein	NA	ricin	TOXIN	08/04/16	RTA1-33/44-198 (RVEC) bound to Single Domain Antibody A3C8	LAMA GLAMA; RICINUS COMMUNIS	lama glama	NA	ricinus communis	Compton, J.R., Legler, P.M.	2.73	X-RAY DIFFRACTION	0.267	0.226	False	True	IGHV1	NA	NA	6.27e-10	-12.554773363845591	SPR	NA	TBD
5sv3	A	NA	0	B	protein	NA	ricin	TOXIN	08/04/16	RTA1-33/44-198 (RVEC) bound to Single Domain Antibody A3C8	LAMA GLAMA; RICINUS COMMUNIS	lama glama	NA	ricinus communis	Compton, J.R., Legler, P.M.	2.73	X-RAY DIFFRACTION	0.267	0.226	False	True	IGHV1	NA	NA	6.27e-10	-12.554773363845591	SPR	NA	TBD
4g3y	H	L	0	C	protein	NA	tumor necrosis factor	IMMUNE SYSTEM	07/15/12	Crystal structure of TNF-alpha in complex with Infliximab Fab fragment	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Liang, S.Y., Dai, J.X., Guo, Y.J., Lou, Z.Y.	2.6	X-RAY DIFFRACTION	0.235	0.18899999999999997	False	True	IGHV6	IGKV5	Kappa	8.7e-09	-10.996463217420198	SPR	NA	TBD
6fgb	H	L	0	A | B	protein | protein	NA | NA	igg receptor fcrn large subunit p51 | beta-2-microglobulin	IMMUNE SYSTEM	01/10/18	Human FcRn extra-cellular domain complexed with Fab fragment of Rozanolixizumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens | homo sapiens	Sarkar, K., Ceska, T., Meier, C.	2.9	X-RAY DIFFRACTION	0.284	0.23199999999999998	False	True	IGHV3	IGKV1	Kappa	5.9e-11	-13.955054682819997	SPR	NA	TBD
3n85	H	L	0	A	protein	NA	receptor tyrosine-protein kinase erbb-2	Transferase/immune system	05/27/10	Crystallographic trimer of HER2 extracellular regions in complex with tryptophan-rich antibody fragment	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eigenbrot, C.	3.2	X-RAY DIFFRACTION	0.23	0.20600000000000002	False	True	IGHV3	IGKV1	Kappa	7.90e-10	-12.41	SPR	NA	20654626
1vfb	B	A	0	C	protein	NA	hen egg white lysozyme	IMMUNOGLOBULIN/HYDROLASE(O-GLYCOSYL)	12/03/93	BOUND WATER MOLECULES AND CONFORMATIONAL STABILIZATION HELP MEDIATE AN ANTIGEN-ANTIBODY ASSOCIATION	MUS MUSCULUS; GALLUS GALLUS	mus musculus	mus musculus	gallus gallus	Bhat, T.N., Poljak, R.J.	1.8	X-RAY DIFFRACTION	unknown	0.185	False	True	IGHV2	IGKV12	Kappa	3.70e-09	-11.47	ITC	24	8302837
4qti	H	L	0	U	protein	NA	urokinase plasminogen activator surface receptor	IMMUNE SYSTEM	07/08/14	Crystal structure of human uPAR in complex with anti-uPAR Fab 8B12	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Zhao, B., Yuan, C., Luo, Z., Huang, M.	3.0	X-RAY DIFFRACTION	0.29600000000000004	0.25	False	False	IGHV1	IGKV9	Kappa	1.7200000000000002e-08	-10.592634423700435	SPR	NA	TBD
6b0s	H	L	0	C	protein	NA	circumsporozoite protein	IMMUNE SYSTEM	09/15/17	Crystal structure of circumsporozoite protein aTSR domain in complex with 1710 antibody	HOMO SAPIENS; PLASMODIUM FALCIPARUM	homo sapiens	homo sapiens	plasmodium falciparum	Scally, S.W., Murugan, R., Bosch, A., Triller, G., Wardemann, H., Julien, J.P.	1.95	X-RAY DIFFRACTION	0.22399999999999998	0.18	False	True	IGHV3	IGLV3	Lambda	1.78e-07	-9.20807461785177	SPR	NA	TBD
6b0g	D	C	0	E	protein	NA	25 kda ookinete surface antigen	IMMUNE SYSTEM	09/14/17	Crystal structure of Pfs25 in complex with the transmission blocking antibody 1245	HOMO SAPIENS; PLASMODIUM FALCIPARUM	homo sapiens	homo sapiens	plasmodium falciparum	McLeod, B., Scally, S.W., Bosch, A., King, C.R., Julien, J.P.	1.9	X-RAY DIFFRACTION	0.2	0.16399999999999998	False	True	IGHV1	IGKV2	Kappa	3.1e-08	-10.243615428706017	BLI	NA	TBD
6b0a	H	L	0	A	protein	NA	25 kda ookinete surface antigen	IMMUNE SYSTEM	09/14/17	Crystal structure of Pfs25 in complex with the transmission blocking antibody 1269	HOMO SAPIENS; PLASMODIUM FALCIPARUM	homo sapiens	homo sapiens	plasmodium falciparum	Scally, S.W., McLeod, B., Bosch, A., King, C.R., Julien, J.P.	2.5	X-RAY DIFFRACTION	0.249	0.217	False	True	IGHV3	IGKV3	Kappa	3.7000000000000005e-09	-11.503030961041175	BLI	NA	TBD
5n7w	H	L	0	X	protein	NA	interleukin-17a	IMMUNE SYSTEM	02/21/17	Computationally designed functional antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hargreaves, D., Breed, J.	1.96	X-RAY DIFFRACTION	0.25	0.199	False	True	IGHV1	IGKV1	Kappa	8e-08	-9.681917538322692	SPR	NA	TBD
5n7w	A	B	0	Y	protein	NA	interleukin-17a	IMMUNE SYSTEM	02/21/17	Computationally designed functional antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hargreaves, D., Breed, J.	1.96	X-RAY DIFFRACTION	0.25	0.199	False	True	IGHV1	IGKV1	Kappa	8e-08	-9.681917538322692	SPR	NA	TBD
6b08	C	B	0	A	protein	NA	pfs25	IMMUNE SYSTEM	09/14/17	Crystal structure of Pfs25 in complex with the transmission blocking antibody 1276	HOMO SAPIENS; PLASMODIUM FALCIPARUM	homo sapiens	homo sapiens	plasmodium falciparum	Scally, S.W., McLeod, B., Bosch, A., King, C.R., Julien, J.P.	2.2	X-RAY DIFFRACTION	0.233	0.191	False	True	IGHV1	IGLV3	Lambda	1.6e-08	-10.635483235413165	BLI	NA	TBD
2wub	R	Q	0	C	protein	NA	hepatocyte growth factor activator long chain	HYDROLASE/IMMUNE SYSTEM	10/01/09	Crystal structure of HGFA in complex with the allosteric non- inhibitory antibody Fab40.deltaTrp	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Ganesan, R., Eigenbrot, C., Shia, S., ,	2.9	X-RAY DIFFRACTION	0.275	0.21600000000000005	False	True	IGHV3	IGKV1	Kappa	1.5e-07	-9.3	SPR	25	20004165
2wub	H	L	0	A	protein	NA	hepatocyte growth factor activator long chain	HYDROLASE/IMMUNE SYSTEM	10/01/09	Crystal structure of HGFA in complex with the allosteric non- inhibitory antibody Fab40.deltaTrp	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Ganesan, R., Eigenbrot, C., Shia, S., ,	2.9	X-RAY DIFFRACTION	0.275	0.21600000000000005	False	True	IGHV3	IGKV1	Kappa	1.50e-07	-9.3	SPR	25	20004165
2wuc	H	L	0	A	protein	NA	hepatocyte growth factor activator long chain	HYDROLASE/HYDROLASE INHIBITOR	10/01/09	Crystal structure of HGFA in complex with the allosteric non- inhibitory antibody Fab40.deltaTrp and Ac-KQLR-chloromethylketone	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Ganesan, R., Eigenbrot, C., Shia, S.	2.7	X-RAY DIFFRACTION	0.27399999999999997	0.226	False	True	IGHV3	IGKV1	Kappa	1.61e-07	-9.26	SPR	25	20004165
5xmh	H	L	0	A	protein	NA	immunoglobulin gamma-1 heavy chain	IMMUNE SYSTEM	05/15/17	Crystal structure of an IgM rheumatoid factor YES8c in complex with IgG1 Fc	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Shiroishi, M., Shimokawa, K., Lee, J.M., Kusakabe, M., Ueda, T.	2.8	X-RAY DIFFRACTION	0.272	0.22	False	True	IGHV1	IGKV3	Kappa	0.00015999999999999999	-5.178506877772148	SPR	NA	TBD
5xmh	D	C	0	B	protein	NA	immunoglobulin gamma-1 heavy chain	IMMUNE SYSTEM	05/15/17	Crystal structure of an IgM rheumatoid factor YES8c in complex with IgG1 Fc	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Shiroishi, M., Shimokawa, K., Lee, J.M., Kusakabe, M., Ueda, T.	2.8	X-RAY DIFFRACTION	0.272	0.22	False	True	IGHV1	IGKV3	Kappa	0.00015999999999999999	-5.178506877772148	SPR	NA	TBD
6e63	H	L	0	P	protein	NA	pf48/45	IMMUNE SYSTEM	07/23/18	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody TB31F	PLASMODIUM FALCIPARUM; HOMO SAPIENS	homo sapiens	homo sapiens	plasmodium falciparum	Kundu, P., Semesi, A., Julien, J.P.	2.6	X-RAY DIFFRACTION	0.24	0.202	False	True	IGHV3	IGLV6	Lambda	3.7000000000000005e-09	-11.503030961041175	SPR	NA	TBD
6e63	B	C	0	A	protein	NA	pf48/45	IMMUNE SYSTEM	07/23/18	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody TB31F	PLASMODIUM FALCIPARUM; HOMO SAPIENS	homo sapiens	homo sapiens	plasmodium falciparum	Kundu, P., Semesi, A., Julien, J.P.	2.6	X-RAY DIFFRACTION	0.24	0.202	False	True	IGHV3	IGLV6	Lambda	3.7000000000000005e-09	-11.503030961041175	SPR	NA	TBD
6e62	H	L	0	P	protein	NA	pf48/45	IMMUNE SYSTEM	07/23/18	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody 85RF45.1	PLASMODIUM FALCIPARUM; RATTUS NORVEGICUS	rattus norvegicus	rattus norvegicus	plasmodium falciparum	Kundu, P., Semesi, A., Julien, J.P.	2.7	X-RAY DIFFRACTION	0.276	0.246	False	True	IGHV5	IGLV3	Lambda	3.2000000000000005e-09	-11.589048932503637	SPR	NA	TBD
6e62	B	C	0	A	protein	NA	pf48/45	IMMUNE SYSTEM	07/23/18	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody 85RF45.1	PLASMODIUM FALCIPARUM; RATTUS NORVEGICUS	rattus norvegicus	rattus norvegicus	plasmodium falciparum	Kundu, P., Semesi, A., Julien, J.P.	2.7	X-RAY DIFFRACTION	0.276	0.246	False	True	IGHV5	IGLV3	Lambda	3.2000000000000005e-09	-11.589048932503637	SPR	NA	TBD
5kve	H	L	0	E	protein	NA	zika envelope diii	VIRAL PROTEIN/IMMUNE SYSTEM	07/14/16	Zika specific antibody, ZV-48, bound to ZIKA envelope DIII	ZIKA VIRUS; MUS MUSCULUS	mus musculus	mus musculus	zika virus	Zhao, H., Nelson, C.A., Fremont, D.H., Center for Structural Genomics of Infectious Diseases (CSGID)	1.7	X-RAY DIFFRACTION	0.213	0.187	False	False	IGHV1	IGKV8	Kappa	3.5e-08	-10.171711101540176	SPR	NA	TBD
4r8w	H	L	0	B | A	protein | protein	NA | NA	hemagglutinin | hemagglutinin	IMMUNE SYSTEM	09/03/14	Crystal structure of H7 hemagglutinin from A/Anhui/1/2013 in complex with a neutralizing antibody CT149	INFLUENZA A VIRUS (A/ANHUI/1-BALF_RG45/2013(H7N9)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/anhui/1-balf_rg45/2013(h7n9))  | influenza a virus (a/anhui/1-balf_rg45/2013(h7n9)) 	Wu, Y., Shi, Y., Qi, J., Gao, G.F.	2.795	X-RAY DIFFRACTION	0.311	0.262	False	True	IGHV1	IGKV3	Kappa	1.8300000000000001e-10	-13.284393546178524	SPR	NA	TBD
3ogo	G	NA	0	B	protein	NA	green fluorescent protein	FLUORESCENT PROTEIN/IMMUNE SYSTEM	08/17/10	Structure of the GFP:GFP-nanobody complex at 2.8 A resolution in spacegroup P21212	AEQUOREA VICTORIA; CAMELUS DROMEDARIUS	camelus dromedarius	NA	aequorea victoria	Kubala, M.H., Kovtun, O., Alexandrov, K., Collins, B.M.	2.8	X-RAY DIFFRACTION	0.253	0.202	False	True	IGHV1	NA	NA	1.4000000000000001e-09	-12.56	Other	37	20945358
3ogo	H	NA	0	B	protein	NA	green fluorescent protein	FLUORESCENT PROTEIN/IMMUNE SYSTEM	08/17/10	Structure of the GFP:GFP-nanobody complex at 2.8 A resolution in spacegroup P21212	AEQUOREA VICTORIA; CAMELUS DROMEDARIUS	camelus dromedarius	NA	aequorea victoria	Kubala, M.H., Kovtun, O., Alexandrov, K., Collins, B.M.	2.8	X-RAY DIFFRACTION	0.253	0.202	False	True	IGHV1	NA	NA	1.4e-09	-12.56	Other	37	20945358
3ogo	F	NA	0	C	protein	NA	green fluorescent protein	FLUORESCENT PROTEIN/IMMUNE SYSTEM	08/17/10	Structure of the GFP:GFP-nanobody complex at 2.8 A resolution in spacegroup P21212	AEQUOREA VICTORIA; CAMELUS DROMEDARIUS	camelus dromedarius	NA	aequorea victoria	Kubala, M.H., Kovtun, O., Alexandrov, K., Collins, B.M.	2.8	X-RAY DIFFRACTION	0.253	0.202	False	True	IGHV1	NA	NA	1.4000000000000001e-09	-12.56	Other	37	20945358
3ogo	E	NA	0	A	protein	NA	green fluorescent protein	FLUORESCENT PROTEIN/IMMUNE SYSTEM	08/17/10	Structure of the GFP:GFP-nanobody complex at 2.8 A resolution in spacegroup P21212	AEQUOREA VICTORIA; CAMELUS DROMEDARIUS	camelus dromedarius	NA	aequorea victoria	Kubala, M.H., Kovtun, O., Alexandrov, K., Collins, B.M.	2.8	X-RAY DIFFRACTION	0.253	0.202	False	True	IGHV1	NA	NA	1.40e-09	-12.56	Other	37	20945358
5hhx	H	L	0	A	protein	NA	interleukin-17a	IMMUNE SYSTEM/INHIBITOR	01/11/16	Inhibiting complex IL-17A and IL-17RA interactions with a linear peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Liu, S.	3.0	X-RAY DIFFRACTION	0.263	0.17600000000000002	False	True	IGHV3	IGLV6	Lambda	6.16e-09	-11.201015985009631	Unknown	NA	TBD
4hj0	C	D	0	B	protein	NA	gastric inhibitory polypeptide receptor	IMMUNE SYSTEM	10/12/12	Crystal structure of the human GIPr ECD in complex with Gipg013 Fab at 3-A resolution	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Madhurantakam, C., Ravn, P., Gruetter, M.G., Jackson, R.H.	3.0	X-RAY DIFFRACTION	0.311	0.255	False	True	IGHV1	IGLV1	Lambda	2.3e-08	-10.420467653019871	SPR	NA	TBD
4hj0	P	Q	0	A	protein	NA	gastric inhibitory polypeptide receptor	IMMUNE SYSTEM	10/12/12	Crystal structure of the human GIPr ECD in complex with Gipg013 Fab at 3-A resolution	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Madhurantakam, C., Ravn, P., Gruetter, M.G., Jackson, R.H.	3.0	X-RAY DIFFRACTION	0.311	0.255	False	True	IGHV1	IGLV1	Lambda	2.3e-08	-10.420467653019871	SPR	NA	TBD
4hjj	H	NA	0	A	protein	NA	interleukin-18	IMMUNE SYSTEM	10/12/12	Structure Reveals Function of the Dual Variable Domain Immunoglobulin (DVD-Ig) Molecule	HOMO SAPIENS	homo sapiens	NA	homo sapiens	Jakob, C.G., Edalji, R., Judge, R.A., DiGiammarino, E., Li, Y., Gu, J., Ghayur, T.	2.1	X-RAY DIFFRACTION	0.22	0.184	False	True	IGHV2	NA	NA	1.6e-10	-13.363971414233674	Unknown	NA	TBD
4hjj	NA	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/12/12	Structure Reveals Function of the Dual Variable Domain Immunoglobulin (DVD-Ig) Molecule	HOMO SAPIENS	NA	homo sapiens	NA	Jakob, C.G., Edalji, R., Judge, R.A., DiGiammarino, E., Li, Y., Gu, J., Ghayur, T.	2.1	X-RAY DIFFRACTION	0.22	0.184	False	True	NA	IGKV3	Kappa	1.6e-10	-13.363971414233674	Unknown	NA	TBD
3mj9	H	L	0	A	protein	NA	junctional adhesion molecule-like	IMMUNE SYSTEM	04/12/10	Crystal structure of JAML in complex with the stimulatory antibody HL4E10	MUS MUSCULUS; CRICETULUS MIGRATORIUS	cricetulus migratorius	cricetulus migratorius	mus musculus	Verdino, P., Wilson, I.A.	2.95	X-RAY DIFFRACTION	0.287	0.222	False	False	IGHV2	IGLV3	Lambda	7.69e-09	-11.06	SPR	25	21220118
1qfu	H	L	0	A	protein	NA	protein (hemagglutinin (ha1 chain))	Viral protein/Immune system	04/14/99	INFLUENZA VIRUS HEMAGGLUTININ COMPLEXED WITH A NEUTRALIZING ANTIBODY	INFLUENZA A VIRUS (A/X-31(H3N2)); MUS MUSCULUS	mus musculus	mus musculus	influenza a virus (a/x-31(h3n2))	Fleury, D., Gigant, B., Bizebard, T., Daniels, R.S., Skehel, J.J., Knossow, M.	2.8	X-RAY DIFFRACTION	0.284	0.198	False	False	IGHV1	IGKV1	Kappa	3.00E-09	-11.5	SPR	22	10360354
1qfw	I	M	0	B	protein	NA	gonadotrophin beta subunit	IMMUNE SYSTEM	04/15/99	TERNARY COMPLEX OF HUMAN CHORIONIC GONADOTROPIN WITH FV ANTI ALPHA SUBUNIT AND FV ANTI BETA SUBUNIT	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Tegoni, M., Spinelli, S., Cambillau, C.	3.5	X-RAY DIFFRACTION	0.31	0.26	False	True	IGHV5	IGKV6	Kappa	1e-08	-10.913952715282035	Unknown	NA	TBD
1qfw	H	L	0	A	protein	NA	gonadotropin alpha subunit	IMMUNE SYSTEM	04/15/99	TERNARY COMPLEX OF HUMAN CHORIONIC GONADOTROPIN WITH FV ANTI ALPHA SUBUNIT AND FV ANTI BETA SUBUNIT	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Tegoni, M., Spinelli, S., Cambillau, C.	3.5	X-RAY DIFFRACTION	0.31	0.26	False	True	IGHV1	IGKV3	Kappa	1e-08	-10.913952715282035	Unknown	NA	TBD
6mhr	A	B	0	C	protein	NA	tumor necrosis factor receptor superfamily member 9	IMMUNE SYSTEM	09/18/18	Structure of the human 4-1BB / Urelumab Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kimberlin, C.R., Chin, S.M., Roe-Zurz, Z., Xu, A., Yang, Y.	2.8	X-RAY DIFFRACTION	0.222	0.2	False	True	IGHV4	IGKV3	Kappa	2.2000000000000002e-08	-10.446804596890326	SPR	NA	TBD
6mhr	D	E	0	F	protein	NA	tumor necrosis factor receptor superfamily member 9	IMMUNE SYSTEM	09/18/18	Structure of the human 4-1BB / Urelumab Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kimberlin, C.R., Chin, S.M., Roe-Zurz, Z., Xu, A., Yang, Y.	2.8	X-RAY DIFFRACTION	0.222	0.2	False	True	IGHV4	IGKV3	Kappa	2.2000000000000002e-08	-10.446804596890326	SPR	NA	TBD
1ob1	B	A	0	C	protein	NA	major merozoite surface protein	IMMUNE SYSTEM	01/22/03	Crystal structure of a Fab complex whith  Plasmodium falciparum MSP1-19	PLASMODIUM FALCIPARUM; MUS MUSCULUS	mus musculus	mus musculus	plasmodium falciparum	Pizarro, J.C., Chitarra, V., Verger, D., Holm, I., Petres, S., Dartville, S., Nato, F., Longacre, S., Bentley, G.A.	2.9	X-RAY DIFFRACTION	0.28800000000000003	0.257	False	False	IGHV9	IGKV4	Kappa	2e-10	-12.29	Other	4	12729744
1ob1	E	D	0	F	protein	NA	major merozoite surface protein	IMMUNE SYSTEM	01/22/03	Crystal structure of a Fab complex whith  Plasmodium falciparum MSP1-19	PLASMODIUM FALCIPARUM; MUS MUSCULUS	mus musculus	mus musculus	plasmodium falciparum	Pizarro, J.C., Chitarra, V., Verger, D., Holm, I., Petres, S., Dartville, S., Nato, F., Longacre, S., Bentley, G.A.	2.9	X-RAY DIFFRACTION	0.28800000000000003	0.257	False	False	IGHV9	IGKV4	Kappa	2.00e-10	-12.29	Other	4	12729744
6ddv	B	A	0	C	protein	NA	mhc class i chain-related protein a	IMMUNE SYSTEM	05/10/18	Crystal Structure Analysis of the Epitope of an Anti-MICA Antibody	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Matsumoto, M.L.	2.05	X-RAY DIFFRACTION	0.275	0.223	False	True	IGHV1	IGKV1	Kappa	5.78e-09	-11.238741254569952	ITC	NA	TBD
6ddr	B	A	0	C	protein	NA	mhc class i polypeptide-related sequence a	IMMUNE SYSTEM	05/10/18	Crystal Structure Analysis of the Epitope of an Anti-MICA Antibody	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Matsumoto, M.L.	1.9	X-RAY DIFFRACTION	0.247	0.20800000000000002	False	True	IGHV1	IGKV12	Kappa	9.4e-10	-12.314856971588666	ITC	NA	TBD
5w08	K	L	0	C	protein	NA	hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	05/30/17	A/Texas/50/2012(H3N2) Influenza hemagglutinin in complex with K03.12 Fab	INFLUENZA A VIRUS (A/TEXAS/50/2012(H3N2)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/texas/50/2012(h3n2))	McCarthy, K.R., Harrison, S.C.	2.6	X-RAY DIFFRACTION	0.262	0.24	False	True	IGHV1	IGLV2	Lambda	4e-08	-10.092595930642474	SPR	NA	TBD
5w08	I	J	0	B	protein	NA	hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	05/30/17	A/Texas/50/2012(H3N2) Influenza hemagglutinin in complex with K03.12 Fab	INFLUENZA A VIRUS (A/TEXAS/50/2012(H3N2)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/texas/50/2012(h3n2))	McCarthy, K.R., Harrison, S.C.	2.6	X-RAY DIFFRACTION	0.262	0.24	False	True	IGHV1	IGLV2	Lambda	4e-08	-10.092595930642474	SPR	NA	TBD
5w08	O	P	0	E	protein	NA	hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	05/30/17	A/Texas/50/2012(H3N2) Influenza hemagglutinin in complex with K03.12 Fab	INFLUENZA A VIRUS (A/TEXAS/50/2012(H3N2)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/texas/50/2012(h3n2))	McCarthy, K.R., Harrison, S.C.	2.6	X-RAY DIFFRACTION	0.262	0.24	False	True	IGHV1	IGLV2	Lambda	4e-08	-10.092595930642474	SPR	NA	TBD
5w08	G	H	0	A	protein	NA	hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	05/30/17	A/Texas/50/2012(H3N2) Influenza hemagglutinin in complex with K03.12 Fab	INFLUENZA A VIRUS (A/TEXAS/50/2012(H3N2)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/texas/50/2012(h3n2))	McCarthy, K.R., Harrison, S.C.	2.6	X-RAY DIFFRACTION	0.262	0.24	False	True	IGHV1	IGLV2	Lambda	4e-08	-10.092595930642474	SPR	NA	TBD
5w08	M	N	0	F	protein	NA	hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	05/30/17	A/Texas/50/2012(H3N2) Influenza hemagglutinin in complex with K03.12 Fab	INFLUENZA A VIRUS (A/TEXAS/50/2012(H3N2)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/texas/50/2012(h3n2))	McCarthy, K.R., Harrison, S.C.	2.6	X-RAY DIFFRACTION	0.262	0.24	False	True	IGHV1	IGLV2	Lambda	4e-08	-10.092595930642474	SPR	NA	TBD
5w08	Q	R	0	D	protein	NA	hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	05/30/17	A/Texas/50/2012(H3N2) Influenza hemagglutinin in complex with K03.12 Fab	INFLUENZA A VIRUS (A/TEXAS/50/2012(H3N2)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/texas/50/2012(h3n2))	McCarthy, K.R., Harrison, S.C.	2.6	X-RAY DIFFRACTION	0.262	0.24	False	True	IGHV1	IGLV2	Lambda	4e-08	-10.092595930642474	SPR	NA	TBD
1wej	H	L	0	F	protein	NA	cytochrome c	COMPLEX (ANTIBODY/ELECTRON TRANSPORT)	03/26/98	IGG1 FAB FRAGMENT (OF E8 ANTIBODY) COMPLEXED WITH HORSE CYTOCHROME C AT 1.8 A RESOLUTION	MUS MUSCULUS; EQUUS CABALLUS	mus musculus	mus musculus	equus caballus	Mylvaganam, S.E., Paterson, Y., Getzoff, E.D.	1.8	X-RAY DIFFRACTION	0.256	0.2	False	False	IGHV14	IGKV12	Kappa	1.58e-08	-10.63	ITC	25	7539913
3skj	H	L	0	E	protein	NA	ephrin type-a receptor 2	IMMUNE SYSTEM	06/22/11	Structural And Functional Characterization of an Agonistic Anti-Human EphA2 Monoclonal Antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Oganesyan, V.Y., Wu, H., Dall'Acqua, W.F.	2.5	X-RAY DIFFRACTION	0.271	0.21600000000000005	False	True	IGHV3	IGKV1	Kappa	8.1e-10	-12.4	SPR	NA	21867711
